// POWER
POWER_ON            500 // BOOT NANO 
POWER_OFF           501 // STOP ALL PROCESSES AND SHUT DOWN
SLEEP               502 // ENTER LOW POWER MODE 
WAKE                503 // WAKE FROM LOW POWER MODE
REBOOT              504 // SOFT RESET 

// CAPTURE
BEGIN_CAPTURE       510 // BEGIN CAPTURE SEQUENCE FOR ~ 1 ORBIT 
STOP_CAPTURE        511 // STOP CAPTURE SEQUENCE AFTER ~ 1 ORBIT

// COMPUTE
BEGIN_COMPUTE       520 // COMPUTE ALL IMAGES FROM PREV. CAPTURE ORBIT
COMPUTE_STATUS      521 // SEND PROGRESS OF CURRENT COMPUTE TASK
SEND_RESULTS        522 // SEND RESULTS FROM PAST COMPUTE PERIOD. SPECIFY IF ALL OR SELECT NUMBER OF RESULTS.
ABORT_COMPUTE       523 // ABORT CURRENT COMPUTE TASK 

// TELEMETRY 
SEND_TELEM          530 // SEND THERMAL DATA (CPU/GPU), POWER USAGE, DISK USAGE %

// UTILITY
CLEAN_DISK          540 // WIPE IMAGES FROM DISK  
ABORT_ANY           541 // STOP ANY RUNNING TASKS
